,Common_Name,Family,USDA_hardiness,Known_Hazards,Habitats,Range,Edibility_Rating,Other_Uses,Weed_Potential,Medicinal_Rating,species,Care,ID,URL,common_name,edibility,Uses,Endangered,Invasive,lookslike,picslist,leaf,flower,fruit,twig,bark,form,family,genus,symbol,range,07_Class,08_Subclass,09_Order,10_Family,11_Genus,12_Species,13_Variety,14_Variety,tsn,08_Superorder,15_Variety,16_Variety,17_Variety,18_Variety,19_Variety,01_Species,13_Subspecies,14_Subspecies,01_Variety,15_Subspecies,01_Subspecies,16_Subspecies,17_Subspecies,18_Subspecies
217,,,,,,,,,,,Pinus virginiana,,217,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=113,Virginia pine,,,,,"[['Table Mountain pine', 'factsheet.cfm?ID=114'], ['shortleaf pine', 'factsheet.cfm?ID=101'], ['jack pine', 'factsheet.cfm?ID=100'], ['Scots pine', 'factsheet.cfm?ID=112']]","['../images/Pinus virginiana/latin.wav', '../images/Pinus virginiana/leaf1.jpg', '../images/Pinus virginiana/flower1.jpg', '../images/Pinus virginiana/fruit1.jpg', '../images/Pinus virginiana/twig1.jpg', '../images/Pinus virginiana/bark1.jpg', '../images/Pinus virginiana/form1.jpg', '../images/Pinus virginiana/map.jpg', '../images/Pinus virginiana/map.pdf', '../images/Pinus virginiana/wood.jpg']","Evergreen needles, 1 1/2 to 3 inches long, with 2 yellow-green, twisted, somewhat divergent needles per fascicle.","Species is monoecious; males cylindrical, yellow, near branch tip; females yellow to red, curved prickle present.","Conical to ovoid cones are 1 1/2 to 2 1/2 inches long, sessile and persistent, with red-brown scales and an umbo armed with a sharp, needle-like prickle, maturing in the fall.","Slender, green changing to purple-green with a glaucous bloom; buds gray-brown, narrowly ovoid.","Orange-brown and scaly on young trees; older stems develop thin, small, scaly plates, cinnamon colored patches often on upper parts of trunk.","A small to medium sized tree reaching up to 70 feet tall, eventually develops a flat top sparse crown; dead, gray (sharply angled upwards) branch stubs are almost always present along the trunk.",Pinaceae,Pinus,PIVI2,Pinus virginiana is native to North America. Range may be expanded by planting.,Pinopsida,Pinidae,Pinales,Pinaceae,Pinus,Pinus virginiana,,,183394.0,,,,,,,,,,,,,,,
218,,,,,,,,,,,Platanus occidentalis,,218,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=36,American sycamore,,,,,"[['London plane tree', 'factsheet.cfm?ID=307'], ['California sycamore', 'factsheet.cfm?ID=473'], ['Arizona sycamore', 'factsheet.cfm?ID=638']]","['../images/Platanus occidentalis/latin.wav', '../images/Platanus occidentalis/leaf1.jpg', '../images/Platanus occidentalis/flower1.jpg', '../images/Platanus occidentalis/fruit1.jpg', '../images/Platanus occidentalis/twig1.jpg', '../images/Platanus occidentalis/bark1.jpg', '../images/Platanus occidentalis/form1.jpg', '../images/Platanus occidentalis/map.jpg', '../images/Platanus occidentalis/map.pdf', '../images/Platanus occidentalis/fall.jpg', '../images/Platanus occidentalis/wood.jpg']","Alternate, simple, palmately veined, 4 to 8 inches wide, ovate in shape, with three to five lobes, margins coarsely toothed, petiole bases encircle and enclose the buds, veins may be pubescent below.","Species is monoecious; imperfect, both male and females are very small and appear in dense round clusters, typically a single cluster to a stalk, appearing with the leaves.",A spherical multiple of achenes borne on a 3 to 6 inch stalk.,"Obviously zigzag, quite stout and orange-brown in color; leaf scar surrounds the bud and the stipule scar surrounds the twig; terminal bud is absent; lateral buds are reddish, resinous, with a single, cap-like scale.","Thin, mottled brown, green, tan and white; older stems are gray-brown and scaly.","A very massive tree with heavy, spreading branches with obviously zigzag twigs reaching up to and over 100 feet tall.",Platanaceae,Platanus,PLOC,Platanus occidentalis is native to North America. Range may be expanded by planting.,Magnoliopsida,,Proteales,Platanaceae,Platanus,Platanus occidentalis,,,19020.0,Proteanae,,,,,,,,,,,,,,
219,,,,,,,,,,,Poncirus trifoliata,,219,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=392,trifoliate orange,,,,,[],"['../images/Poncirus trifoliata/latin.wav', '../images/Poncirus trifoliata/leaf1.jpg', '../images/Poncirus trifoliata/flower1.jpg', '../images/Poncirus trifoliata/fruit1.jpg', '../images/Poncirus trifoliata/twig1.jpg', '../images/Poncirus trifoliata/bark1.jpg', '../images/Poncirus trifoliata/form1.jpg', '../images/Poncirus trifoliata/map.jpg', '../images/Poncirus trifoliata/map.pdf', '../images/Poncirus trifoliata/fall.jpg']","Alternate, compound, 3 leaflets, 1 to 2 inches long, may be finely wavy toothed, thickened, petiole winged, shiny dark green.","White, 5 petals, 1 to 2 inches across and very fragrant, appearing in spring.","Yellowish orange, 1 to 1 1/2 inches across, fuzzy and very sour, numerous seeds, ripen in late summer.","Moderate, numerous stiff 1 inch long thorns, green and angled, buds are small.","Light gray-brown, smooth.",,Rutaceae,Poncirus,POTR4,,Magnoliopsida,,Sapindales,Rutaceae,Poncirus,Poncirus trifoliata,,,28989.0,Rosanae,,,,,,,,,,,,,,
220,,,,,,,,,,,Populus alba,,220,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=308,European white poplar,,,,y,"[['bigtooth aspen', 'factsheet.cfm?ID=65'], ['quaking aspen', 'factsheet.cfm?ID=160']]","['../images/Populus alba/latin.wav', '../images/Populus alba/leaf1.jpg', '../images/Populus alba/flower1.jpg', '../images/Populus alba/fruit1.jpg', '../images/Populus alba/twig1.jpg', '../images/Populus alba/bark1.jpg', '../images/Populus alba/form1.jpg', '../images/Populus alba/map.jpg', '../images/Populus alba/map.pdf', '../images/Populus alba/fall.jpg']","Alternate, simple, pinnately veined, 2 to 4 inches long, margins are coarsely toothed and sometimes lobed (maple-like), shiny green above and silvery white-wooly beneath.","Species is dioecious; male and female as pendulous catkins, 2 to 3 inches long, appearing before the leaves.",Cottony seeds borne in dehiscent capsules which mature in late spring to early summer.,"Medium-textured, gray to reddish brown and may have some gray pubescence; buds are ovate and pointed, reddish brown with some gray fine hairs, laterals are somewhat hooked.","Smooth and milky greenish white for several years, later developing numerous lenticels which enlarge and develop into shallow dark splits and ridges.","Generally a single straight trunk, with a thin, narrow crown.",Salicaceae,Populus,POAL7,,Magnoliopsida,,Malpighiales,Salicaceae,Populus,Populus alba,,,22451.0,Rosanae,,,,,,,,,,,,,,
221,,,,,,,,,,,Populus balsamifera ssp. balsamifera,,221,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=401,balsam poplar,,,,,"[['black cottonwood', 'factsheet.cfm?ID=235'], ['eastern cottonwood', 'factsheet.cfm?ID=64'], ['narrowleaf cottonwood', 'factsheet.cfm?ID=898'], ['bigtooth aspen', 'factsheet.cfm?ID=65']]","['../images/Populus balsamifera ssp. balsamifera/latin.wav', '../images/Populus balsamifera ssp. balsamifera/leaf1.jpg', '../images/Populus balsamifera ssp. balsamifera/twig1.jpg', '../images/Populus balsamifera ssp. balsamifera/bark1.jpg', '../images/Populus balsamifera ssp. balsamifera/form1.jpg', '../images/Populus balsamifera ssp. balsamifera/map.jpg', '../images/Populus balsamifera ssp. balsamifera/map.pdf', '../images/Populus balsamifera ssp. balsamifera/wood.jpg']","Alternate, simple, ovate, finely serrated, 3 to 6 inches long, shiny dark green, paler and often blotchy orange below, petiole long with glands at the leaf base.","Species is dioecious; male and female as hanging, long (several inches), pale yellow-green catkins; appearing in early spring.","Small, 2-valved, dry capsule containing numerous small seeds.","Moderately stout, round, shiny reddish brown, orange lenticels, buds are reddish brown to brown, long (1 inch), curved, resinous and fragrant.","Greenish gray with lighter lenticels when young, later becoming darker and furrowed with long, scaly ridges.","Medium sized tree reaching up to 80 feet tall, narrow, pyramidal crown.",Salicaceae,Populus,POBAB2,Populus balsamifera ssp. balsamifera is native to North America. Range may be expanded by planting.,Magnoliopsida,,Malpighiales,Salicaceae,Populus,Populus balsamifera ssp. balsamifera,,,22454.0,,,,,,,,,,,,Populus balsamifera ssp. balsamifera,,,
222,,,,,,,,,,,Populus deltoides,,222,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=64,eastern cottonwood,,,,,"[['bigtooth aspen', 'factsheet.cfm?ID=65'], ['swamp cottonwood', 'factsheet.cfm?ID=348'], ['black cottonwood', 'factsheet.cfm?ID=235'], ['Fremont cottonwood', 'factsheet.cfm?ID=537']]","['../images/Populus deltoides/latin.wav', '../images/Populus deltoides/leaf1.jpg', '../images/Populus deltoides/flower1.jpg', '../images/Populus deltoides/fruit1.jpg', '../images/Populus deltoides/twig1.jpg', '../images/Populus deltoides/bark1.jpg', '../images/Populus deltoides/form1.jpg', '../images/Populus deltoides/map.jpg', '../images/Populus deltoides/map.pdf', '../images/Populus deltoides/fall.jpg', '../images/Populus deltoides/wood.jpg']","Alternate, simple, pinnately veined, 3 to 6 inches long, triangular (deltoid) in shape with a crenate/serrate margin.","Species is dioecious; male and female as pendulous catkins, appearing before the leaves.","Cottony seeds, 1/4 inch long borne in a dehiscent capsule, maturing over summer.","Stout, somewhat angled and yellowish; buds are 3/4 inch long, covered with several brown, resinous scales.","Smooth, gray to yellow-green when young.",A large tree with a clear bole and an open spreading crown resulting in a somewhat vase-shaped form.,Salicaceae,Populus,PODE3,Populus deltoides is native to North America. Range may be expanded by planting.,Magnoliopsida,,Malpighiales,Salicaceae,Populus,Populus deltoides,,,22445.0,Rosanae,,,,,,,Populus deltoides ssp. deltoides,Populus deltoides ssp. monilifera,,Populus deltoides ssp. wislizeni,,,,
223,,,,,,,,,,,Populus grandidentata,,223,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=65,bigtooth aspen,,,,,"[['European white poplar', 'factsheet.cfm?ID=308'], ['quaking aspen', 'factsheet.cfm?ID=160'], ['balsam poplar', 'factsheet.cfm?ID=401'], ['eastern cottonwood', 'factsheet.cfm?ID=64']]","['../images/Populus grandidentata/latin.wav', '../images/Populus grandidentata/leaf1.jpg', '../images/Populus grandidentata/flower1.jpg', '../images/Populus grandidentata/fruit1.jpg', '../images/Populus grandidentata/twig1.jpg', '../images/Populus grandidentata/bark1.jpg', '../images/Populus grandidentata/form1.jpg', '../images/Populus grandidentata/map.jpg', '../images/Populus grandidentata/map.pdf', '../images/Populus grandidentata/fall.jpg', '../images/Populus grandidentata/wood.jpg']","Alternate, simple, orbicular to ovate, 3 to 4 inches long, pinnately veined, large blunt teeth, petiole flattened vetically, green above and paler below.","Species is dioecious; males and females occur on hanging, 2 to 3 inch long fuzzy catkins, appearing before the leaves in early spring.","Cottony seeds, 1/4 inch long, borne in small dehiscent capsules that occur along catkins, maturing late spring to early summer.","Medium-textured, gray-brown in color; buds are ovate, pointed, red-brown to gray with some pubescence; leaf scars raised and heart-shaped.","Thin, gray, olive-green to milky green and smooth on young stems; later gray-brown, ridged with diamond shaped lenticels and splits forming.","A medium sized tree with an irregular, thin crown and a straight bole.",Salicaceae,Populus,POGR4,Populus grandidentata is native to North America. Range may be expanded by planting.,Magnoliopsida,,Malpighiales,Salicaceae,Populus,Populus grandidentata,,,22463.0,Rosanae,,,,,,,,,,,,,,
224,,,,,,,,,,,Populus heterophylla,,224,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=348,swamp cottonwood,,,,,"[['eastern cottonwood', 'factsheet.cfm?ID=64'], ['water tupelo', 'factsheet.cfm?ID=300']]","['../images/Populus heterophylla/latin.wav', '../images/Populus heterophylla/leaf1.jpg', '../images/Populus heterophylla/twig1.jpg', '../images/Populus heterophylla/bark1.jpg', '../images/Populus heterophylla/form1.jpg', '../images/Populus heterophylla/map.jpg', '../images/Populus heterophylla/map.pdf', '../images/Populus heterophylla/fall.jpg', '../images/Populus heterophylla/wood.jpg']","Alternate, simple, broadly ovate, serrated margin, heart-shaped base, 4 to 7 inches long, petiole round, green above and paler below.","Species is dioecious; males occur in 1 inch long catkins, females occur in a sparse flowered catkin, appearing before leaves.","Half inch capsules in hanging catkins, appearing in spring.","Stout, reddish or greenish brown, lighter lenticels, large leaf scar, orange-brown pith; buds are 1/3 inch long, reddish brown, broad and pointed, slightly gummy.","Gray-brown, strongly vertically ridged.","Medium to large tree that can reach heights over 80 feet, straight trunk and clear bole.",Salicaceae,Populus,POHE4,Populus heterophylla is native to North America. Range may be expanded by planting.,Magnoliopsida,,Malpighiales,Salicaceae,Populus,Populus heterophylla,,,22465.0,Rosanae,,,,,,,,,,,,,,
225,,,,,,,,,,,Populus nigra var. italica,,225,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=538,Lombardy poplar,,,,,"[['eastern cottonwood', 'factsheet.cfm?ID=64'], ['Fremont cottonwood', 'factsheet.cfm?ID=537']]","['../images/Populus nigra var. italica/latin.wav', '../images/Populus nigra var. italica/leaf1.jpg', '../images/Populus nigra var. italica/twig1.jpg', '../images/Populus nigra var. italica/bark1.jpg', '../images/Populus nigra var. italica/form1.jpg', '../images/Populus nigra var. italica/map.jpg', '../images/Populus nigra var. italica/map.pdf']","Alternate, simple, broadly deltoid (triangular), 2 to 4 inches long, finely serrate-crenate, straight across the base, petiole flattened, shiny dark green above, paler beneath.","Species is dioecious; however, in the variety 'Italica' only male trees are seen; male flowers are slender, reddish to yellow-green, hanging catkins, 2 to 3 inches long, appear in early spring before the leaves.",Hanging cluster of light brown capsules containing numerous small fluffy seeds.,"Moderate to stout, light brown to yellow-brown, swollen at leaf scars; large, sticky, reddish brown conical buds.","Initially smooth and gray-green, becoming darker (gray to nearly black) and irregularly furrowed.","Very slender upright crown (column-like), may reach up to 60 feet in height with only a spread of 10 to 15 feet, upward bending branches start close to the ground.",Salicaceae,Populus,PONI,,Magnoliopsida,,Malpighiales,Salicaceae,Populus,Populus nigra var. italica,,,195768.0,,,,,,,,,,Populus nigra var. italica,,,,,
226,,,,,,,,,,,Populus tremuloides,,226,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=160,quaking aspen,,,,,"[['bigtooth aspen', 'factsheet.cfm?ID=65'], ['black cottonwood', 'factsheet.cfm?ID=235'], ['balsam poplar', 'factsheet.cfm?ID=401'], ['Fremont cottonwood', 'factsheet.cfm?ID=537']]","['../images/Populus tremuloides/latin.wav', '../images/Populus tremuloides/leaf1.jpg', '../images/Populus tremuloides/flower1.jpg', '../images/Populus tremuloides/fruit1.jpg', '../images/Populus tremuloides/twig1.jpg', '../images/Populus tremuloides/bark1.jpg', '../images/Populus tremuloides/form1.jpg', '../images/Populus tremuloides/map.jpg', '../images/Populus tremuloides/map.pdf', '../images/Populus tremuloides/fall.jpg', '../images/Populus tremuloides/wood.jpg']","Alternate, simple, 1 to 3 inches long, green above and paler below, heart-shaped to nearly round with a fine toothed margin, petiole is flattened.",Species is dioecious; male and female hanging catkins 1 to 3 inches long.,"Catkin (2 to 4 inches long), with attached light green capsules which contain many small hairy seeds.","Slender, glabrous, reddish brown often with a gray, waxy film; buds conical, reddish brown, terminal bud 1/4 inch long, may be slightly resinous.","At first smooth, creamy yellowish-white to very light green; later developing thick furrows and becoming dark, especially near the base.","Small (30 to 40 feet tall) upright tree, which often occurs in thickets.",Salicaceae,Populus,POTR5,Populus tremuloides is native to North America. Range may be expanded by planting.,Magnoliopsida,,Malpighiales,Salicaceae,Populus,Populus tremuloides,,,195773.0,Rosanae,,,,,,,,,,,,,,
227,,,,,,,,,,,Prunus americana,,227,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=541,American plum,edible,,,,"[['Mexican plum', 'factsheet.cfm?ID=919'], ['Chickasaw plum', 'factsheet.cfm?ID=236'], ['black cherry', 'factsheet.cfm?ID=66'], ['chokeberry', 'factsheet.cfm?ID=363']]","['../images/Prunus americana/latin.wav', '../images/Prunus americana/leaf1.jpg', '../images/Prunus americana/flower1.jpg', '../images/Prunus americana/fruit1.jpg', '../images/Prunus americana/twig1.jpg', '../images/Prunus americana/bark1.jpg', '../images/Prunus americana/form1.jpg', '../images/Prunus americana/map.jpg', '../images/Prunus americana/map.pdf']","Alternate, simple, ovate to elliptical, finely serrated margin, sharply pointed tip, 3 to 4 inches long, green above, and slightly paler beneath.","White, 5 petals, 1 inch across, long filaments, yellow anthers, appear in small clusters in early spring with the leaves.","Fleshy drupe, nearly round, 1 inch across, reddish purple to yellow-brown, some glaucous bloom, ripen in mid to late summer.","Slender, reddish brown, later developing an exfoliating gray film, leaf scars raised; buds reddish to gray and sharp pointed, some twigs becoming thorns.","Initially reddish gray, smooth with numerous horizontal lenticels, later becoming rough with irregular ridges and exfoliating curling strips.","A multi-stemmed, shrubby, small tree with a spreading crown, reaching up to 30 feet tall with numerous rigid spiny branches; readily suckers from the roots.",Rosaceae,Prunus,PRAM,Prunus americana is native to North America. Range may be expanded by planting.,Magnoliopsida,,Rosales,Rosaceae,Prunus,Prunus americana,,,24763.0,Rosanae,,,,,,,,,,,,,,
228,,,,,,,,,,,Prunus angustifolia,,228,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=236,Chickasaw plum,edible,,,,"[['American plum', 'factsheet.cfm?ID=541'], ['Mexican plum', 'factsheet.cfm?ID=919'], ['beach plum', 'factsheet.cfm?ID=817'], ['chokeberry', 'factsheet.cfm?ID=363']]","['../images/Prunus angustifolia/latin.wav', '../images/Prunus angustifolia/leaf1.jpg', '../images/Prunus angustifolia/flower1.jpg', '../images/Prunus angustifolia/fruit1.jpg', '../images/Prunus angustifolia/twig1.jpg', '../images/Prunus angustifolia/bark1.jpg', '../images/Prunus angustifolia/form1.jpg', '../images/Prunus angustifolia/map.jpg', '../images/Prunus angustifolia/map.pdf', '../images/Prunus angustifolia/fall.jpg']","Alternate, simple, oblong to lanceolate, fine rounded gland-tipped serrations, 1 1/2 to 3 inches long, shiny dark green above, dull and lighter beneath.","Small (1/3 inch), 5 white petals, reddish orange anthers, appear in clumps in early spring before the leaves.","Drupe, bright yellow to red, round to oval, 1/3 to 1/2 inch in diameter, flesh juicy, ripening in late summer.","Slender, bright reddish brown, exfoliating grayish film, buds are small and reddish with loose scales, often with clusters of flower buds, leaf scars raised, may have thorny spurs.","Initially smooth reddish with numerous elongated light lenticels, later developing cracks and splits and becoming rough scaly and shallowly furrowed.","A small shrubby tree, reaching heights of 20 feet, often found in dense thickets.",Rosaceae,Prunus,PRAN3,Prunus angustifolia is native to North America. Range may be expanded by planting.,Magnoliopsida,,Rosales,Rosaceae,Prunus,Prunus angustifolia,,,24768.0,Rosanae,,,,,,,,,,,,,,
229,,,,,,,,,,,Prunus avium,,229,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=63,sweet cherry,edible,,,,"[['sour cherry', 'factsheet.cfm?ID=860'], ['black cherry', 'factsheet.cfm?ID=66'], ['fire cherry', 'factsheet.cfm?ID=154'], ['mountain holly', 'factsheet.cfm?ID=935']]","['../images/Prunus avium/latin.wav', '../images/Prunus avium/leaf1.jpg', '../images/Prunus avium/flower1.jpg', '../images/Prunus avium/fruit1.jpg', '../images/Prunus avium/twig1.jpg', '../images/Prunus avium/bark1.jpg', '../images/Prunus avium/form1.jpg', '../images/Prunus avium/map.jpg', '../images/Prunus avium/map.pdf', '../images/Prunus avium/fall.jpg']","Alternate, simple, 2 to 5 inches long, oval to obovate, serrated margin (slightly rounded teeth), obvious darkened glands on petiole, generally with more than 8 pairs of veins.","Showy, white, 1 inch across, 3 to 5 per cluster, appearing early spring.","Sweet, dark red to nearly black drupe, 1/2 to 1 inch across, may be clustered on spur shoots; matures early to mid summer.","Medium textured, gray-brown, with a mild bitter almond taste; buds large (up to 1/4 inch), reddish brown; spur shoots present with multiple terminal buds.","Gray-brown, smooth, with prominant, long horizontal lenticels, often peels.","A small to medium sized tree, generally to 50 feet, with a broadly rounded crown.",Rosaceae,Prunus,PRAV,,Magnoliopsida,,Rosales,Rosaceae,Prunus,Prunus avium,,,24770.0,Rosanae,,,,,,,,,,,,,,
230,,,,,,,,,,,Prunus cerasus,,230,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=860,sour cherry,edible,,,,"[['sweet cherry', 'factsheet.cfm?ID=63'], ['black cherry', 'factsheet.cfm?ID=66'], ['fire cherry', 'factsheet.cfm?ID=154'], ['mountain holly', 'factsheet.cfm?ID=935']]","['../images/Prunus cerasus/latin.wav', '../images/Prunus cerasus/leaf1.jpg', '../images/Prunus cerasus/flower1.jpg', '../images/Prunus cerasus/fruit1.jpg', '../images/Prunus cerasus/twig1.jpg', '../images/Prunus cerasus/bark1.jpg', '../images/Prunus cerasus/form1.jpg', '../images/Prunus cerasus/map.jpg', '../images/Prunus cerasus/map.pdf']","Alternate, 2 to 5 inches long, oval to obovate, serrate margins, obvious darkened glands on petiole, generally with less than 8 pairs of veins.","White, 5 petals, 3 to 5 per cluster, appearing in mid-spring.","Sweet, dark red to black, 1/2 to 1 inch across, may be clustered on spur shoots; matures early to mid summer.","Medium textured, gray-brown, buds reddish brown, spur shoots present (spurs with multiple terminal buds), with a mild bitter almond taste.","Red to gray-brown, tight but somewhat rough, with prominant horizontal lenticels, often peels.","A small tree, generally to 30 feet, with a broadly rounded crown.",Rosaceae,Prunus,PRCE,,Magnoliopsida,,Rosales,Rosaceae,Prunus,Prunus cerasus,,,24773.0,Rosanae,,,,,,,,,,,,,,
231,,,,,,,,,,,Prunus maritima,,231,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=817,beach plum,edible,,,,"[['American plum', 'factsheet.cfm?ID=541'], ['choke cherry', 'factsheet.cfm?ID=238'], ['Chickasaw plum', 'factsheet.cfm?ID=236'], ['chokeberry', 'factsheet.cfm?ID=363']]","['../images/Prunus maritima/latin.wav', '../images/Prunus maritima/leaf1.jpg', '../images/Prunus maritima/flower1.jpg', '../images/Prunus maritima/fruit1.jpg', '../images/Prunus maritima/twig1.jpg', '../images/Prunus maritima/bark1.jpg', '../images/Prunus maritima/form1.jpg', '../images/Prunus maritima/map.jpg', '../images/Prunus maritima/map.pdf']","Alternate, simple, deciduous, ovate to obovate (or round var.","White, 5 petals, 1/2 inch across, long filaments, yellow anthers, appear singly or in small clusters in mid-spring.","Fleshy drupe, nearly round, up to 1 inch, crimson to blue-black (yellow var.","Slender, reddish brown, new growth with pubescence, buds reddish and sharp pointed; leaf scars raised.","Initially reddish brown and smooth with numerous horizontal lenticels, later becoming dark and rough.","A multi-stemmed shrub, generally to 4 feet in the wild, but to 10 feet when cultivated, generally with a spread equal to height, spreads by root suckering.",Rosaceae,Prunus,PRMA2,Prunus maritima is native to North America. Range may be expanded by planting.,Magnoliopsida,,Rosales,Rosaceae,Prunus,Prunus maritima,,,24790.0,Rosanae,,,,,,,,,,,,,,
232,,,,,,,,,,,Prunus pensylvanica,,232,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=154,fire cherry,edible,,,,"[['black cherry', 'factsheet.cfm?ID=66'], ['choke cherry', 'factsheet.cfm?ID=238'], ['sweet cherry', 'factsheet.cfm?ID=63'], ['sour cherry', 'factsheet.cfm?ID=860']]","['../images/Prunus pensylvanica/latin.wav', '../images/Prunus pensylvanica/leaf1.jpg', '../images/Prunus pensylvanica/flower1.jpg', '../images/Prunus pensylvanica/fruit1.jpg', '../images/Prunus pensylvanica/twig1.jpg', '../images/Prunus pensylvanica/bark1.jpg', '../images/Prunus pensylvanica/form1.jpg', '../images/Prunus pensylvanica/map.jpg', '../images/Prunus pensylvanica/map.pdf', '../images/Prunus pensylvanica/fall.jpg']","Alternate, simple, lanceolate, 3 to 5 inches long, 1 to 1 1/2 inches wide, finely serrated margin, green above and slightly paler below.","Species is monoecious; white, 1/2 inch across, occurring in a small cluster.","Red drupe, 1/4 inch in diameter, ripening in mid summer, very sour.","Slender, glabrous, reddish brown; buds are small (1/8 inch), reddish brown and clustered at the branch tips; a mild bitter almond taste when chewed.","Lustrous, shiny, red-brown, long horizontal lenticels, may peel off in horizontal strips.","A small tree to 30 feet tall, 1 foot in diameter.",Rosaceae,Prunus,PRPE2,Prunus pensylvanica is native to North America. Range may be expanded by planting.,Magnoliopsida,,Rosales,Rosaceae,Prunus,Prunus pensylvanica,,,24799.0,Rosanae,,,,,,,,,,,,,,
233,,,,,,,,,,,Prunus persica,,233,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=309,peach,edible,,,,"[['black cherry', 'factsheet.cfm?ID=66']]","['../images/Prunus persica/latin.wav', '../images/Prunus persica/leaf1.jpg', '../images/Prunus persica/flower1.jpg', '../images/Prunus persica/fruit1.jpg', '../images/Prunus persica/twig1.jpg', '../images/Prunus persica/bark1.jpg', '../images/Prunus persica/form1.jpg', '../images/Prunus persica/map.jpg', '../images/Prunus persica/map.pdf', '../images/Prunus persica/fall.jpg']","Alternate, simple, lanceolate, serrated, 3 to 6 inches long, often curved along midrib, shiny dark green above, paler below.","Pink to lavender, 1 inch across, solitary but often close together, appearing in early spring.","Fuzzy drupe, 3 inches across, yellow and red, hard, ribbed pit inside encloses the seed, very delicious and juicy, ripens in mid summer.","New growth is red and green, later turns gray-brown, buds are blunt and gray fuzzy, spur shoots present.","Dark gray, initially smooth with elongated lenticels, later splits and becomes irregularly scaly.",A small tree up to 15 feet with a spreading crown.,Rosaceae,Prunus,PRPE3,,Magnoliopsida,,Rosales,Rosaceae,Prunus,Prunus persica,,,24765.0,Rosanae,,,,,,,,,,,,,,
234,,,,,,,,,,,Prunus serotina,,234,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=66,black cherry,edible,,,,"[['sweet cherry', 'factsheet.cfm?ID=63'], ['American plum', 'factsheet.cfm?ID=541'], ['choke cherry', 'factsheet.cfm?ID=238'], ['fire cherry', 'factsheet.cfm?ID=154']]","['../images/Prunus serotina/latin.wav', '../images/Prunus serotina/leaf1.jpg', '../images/Prunus serotina/flower1.jpg', '../images/Prunus serotina/fruit1.jpg', '../images/Prunus serotina/twig1.jpg', '../images/Prunus serotina/bark1.jpg', '../images/Prunus serotina/form1.jpg', '../images/Prunus serotina/map.jpg', '../images/Prunus serotina/map.pdf', '../images/Prunus serotina/fall.jpg', '../images/Prunus serotina/wood.jpg']","Alternate, simple, 2 to 5 inches long, oblong to lance-shaped, finely serrated, very small inconspicuous glands on petiole, dark green and lustrous above, paler below; usually with a dense yellowish-brown, sometimes white pubescence along mid-rib.","Small white flowers in hanging, narrow clusters 4 to 6 inches long, appearing in late spring.","Dark purple round drupe, almost black when ripe, 1/3 inch in diameter with a bitter-sweet taste; matures in late summer.","Slender, reddish brown, sometimes covered in gray epidermis, pronounced bitter almond odor and taste; buds are very small (1/5 inch),covered in several glossy, reddish brown to greenish scales; leaf scars are small and semicircular with 3 bundle scars.","Smooth with numerous short, narrow, horizontal lenticels when young; becomes very dark (nearly black), breaking up into small, rough, irregular, upturned plates (burnt corn flakes), when older.","Medium sized tree which (on good sites) develops a long, straight, clear bole and can reach heights approaching 100 feet.",Rosaceae,Prunus,PRSE2,Prunus serotina is native to North America. Range may be expanded by planting.,Magnoliopsida,,Rosales,Rosaceae,Prunus,Prunus serotina,Prunus serotina var. alabamensis,Prunus serotina var. rufula,24764.0,Rosanae,Prunus serotina var. salicifolia,Prunus serotina var. serotina,,,,,,,,,,,,
