ID,name,vapage,website,phone,address,region,descr,reglatlong,times,fees,amenities,trails,shipsto
65,Davis Valley Winery,https://www.virginiawine.org/wineries/davis-valley-winery,http://dvwinery.com,276-686-8855,"1167 Davis Valley Road, Rural Retreat, VA 24368",Blue Ridge,Owners Rusty and Ruth Rhea Cox invite you to visit our farm winery and vineyards in the enchanting mountains of beautiful Southwestern Virginia. Drop by the Tasting Room to sample our wines on a 100 year-old handcrafted oak bar.,"(36.9059739, -81.3628784)","['Mon: 10:00 AM - 5:00 PM', 'Tues: 10:00 AM - 5:00 PM', 'Wed: 10:00 AM - 5:00 PM', 'Thurs: 10:00 AM - 5:00 PM', 'Fri: 10:00 AM - 5:00 PM', 'Sat: 10:00 AM - 5:00 PM', 'Sun: Closed', 'Group: Tours', 'Picnic: Area', 'Tasting: Room', 'Wine: Shop']",Tasting Fee: 0,"['Features', 'Group Tours', 'Picnic Area', 'Tasting Room', 'Wine Shop']",,['Virginia']
66,Delaplane Cellars,https://www.virginiawine.org/wineries/delaplane-cellars,http://www.delaplanecellars.com,540-592-7210,"2187 Winchester Road, Delaplane, Virginia 20144-1734",Northern Virginia,"We are a boutique family winery committed to producing ultra premium, artisan wines grown in a select handful of meticulously managed vineyards by growers who, like us, are obsessed with quality.","(38.950148, -77.936665)","['Mon: 11:00 AM - 5:00 PM', 'Tues: Closed', 'Wed: Closed', 'Thurs: 11:00 AM - 5:00 PM', 'Fri: 11:00 AM - 6:00 PM', 'Sat: 11:00 AM - 6:00 PM', 'Sun: 11:00 AM - 6:00 PM', 'Food: Available: Light Fare', 'Tasting: Room', 'Fauquier: County Wine Trail']",Tour Fee: NA,"['Features', 'Food Available', 'Light Fare', 'Tasting Room']","[('Fauquier County Wine Trail', 'https://www.fauquiertourism.com/wineries.html\n')]",
67,Delfosse Vineyards and Winery,https://www.virginiawine.org/wineries/delfosse-vineyards-and-winery-0,http://www.delfossewine.com,434-263-6100,"500 Delfosse Winery Lane, Faber, VA 22938",Central Virginia,"Located in the foothills of the Blue Ridge Mountains in the Monticello AVA, Delfosse Vineyards and Winery is committed to the sustainable production of high quality premium varietal wines that emphasize the outstanding Virginia terroir. Our pastoral farm setting with uniquely terraced vineyards, scenic vistas, lake, and picnic areas, offers the serenity -and the wines- to promise an engaging and fun experience.","(37.8918072, -78.7632217)","['Mon: Closed', 'Tues: Closed', 'Wed: 11:00 AM - 5:00 PM', 'Thurs: 11:00 AM - 5:00 PM', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Child: Friendly', 'Food: Available: Light Fare', 'Overnight: Stay', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Explore: Nelson Wine Trail', 'Jefferson: Heritage Trail', 'Monticello: Wine Trail']",Tasting Fee: 10.00,"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Overnight Stay', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Explore Nelson Wine Trail', 'http://nelsoncounty.com/visit/wineriesbrewery/'), ('Jefferson Heritage Trail', 'https://jeffersonheritagetrail.com'), ('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n')]","['Alaska', 'Arizona', 'California', 'Colorado', 'Connecticut', 'Delaware', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Indiana', 'Louisiana', 'Maryland', 'Michigan', 'Minnesota', 'Missouri', 'Nebraska', 'Nevada', 'Ohio', 'Oregon', 'Texas', 'Vermont', 'Virginia', 'Washington', 'Wisconsin', 'Wyoming']"
68,Desert Rose Ranch & Winery,https://www.virginiawine.org/wineries/desert-rose-ranch-winery,http://www.desertrosewinery.com,540-635-3200,"13726 Hume Rd., Hume, VA 22639",Northern Virginia,"The winery opened in April 2011 and has a unique old western flair.  We are an operating horse ranch and horses will often be seen in the corral by the winery.  Take a step back in time in the tasting room which resembles an old west saloon.  The wines, however, are distinctly modern and have already achieved a loyal following.  The port styled dessert wine served with Virginia made chocolate is the highlight of the tasting line-up which includes eight or ten wines.  The tasting bar is also a treat as it includes money from around the world where the owners have lived or traveled.  We are surrounded by many other world class wineries and invite one and all to spend a day in the beautiful Virginia countryside.","(38.8395132, -78.0802968)","['Mon: 12:00 PM - 6:00 PM', 'Tues: 12:00 PM - 6:00 PM', 'Wed: 12:00 PM - 6:00 PM', 'Thurs: 12:00 PM - 6:00 PM', 'Fri: 12:00 PM - 6:00 PM', 'Sat: 12:00 PM - 6:00 PM', 'Sun: 12:00 PM - 6:00 PM', 'Child: Friendly', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Blue: Ridge ', 'Blue: Ridge Wine Trail', 'Blue: Ridge Wine Way', 'Fauquier: County Wine Trail', 'Tween: Rivers Trail', 'Vintage: Piedmont ']",Reserve Tasting Fee: 12.00,"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room']","[('Blue Ridge “Whiskey Wine Loop”', 'https://www.discovershenandoah.com'), ('Blue Ridge Wine Trail', 'https://www.blueridgewinetrail.com\n'), ('Blue Ridge Wine Way', 'https://www.blueridgewineway.com\n'), ('Fauquier County Wine Trail', 'https://www.fauquiertourism.com/wineries.html\n'), ('Tween Rivers Trail', 'http://www.tweenriverstrail.com/'), ('Vintage Piedmont', 'http://vintagepiedmont.com/')]",['Virginia']
69,DeVault Family Vineyards ,https://www.virginiawine.org/wineries/devault-family-vineyards,http://www.devaultvineyards.com,434-993-0722,"247 Station Lane, Concord, VA  24538",Central Virginia,"DeVault Family Vineyards' name truly does say it all. Our family-owned and operated farm/winery, has a ""family"" atmosphere and the amenities to entertain the adults as well as the children who come and visit us. Our 31 acre farm includes an indoor, heated pool with a bathroom and shower. We have certified lifeguards available for private parties and during winery events. We also have a lighted tennis court, a children's swing set, as well as a children's playhouse, for your kids to enjoy. Our 20'x48' Tasting Room is available to rent for private parties and weddings.","(37.3469379, -78.971432)","['Mon: 11:00 AM -  6:00 PM', 'Tues: 11:00 AM -  6:00 PM', 'Wed: 11:00 AM -  6:00 PM', 'Thurs: 11:00 AM -  6:00 PM', 'Fri: 11:00 AM -  6:00 PM', 'Sat: 11:00 AM -  6:00 PM', 'Sun: Closed - Closed', 'Child: Friendly', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Weddings:  ', 'Southern: Virginia Wine Trail']",Tasting Fee: 5.00,"['Features', 'Child Friendly', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Weddings']","[('Southern Virginia Wine Trail', 'https://virginiawine.org')]","['Arkansas', 'Florida', 'Idaho', 'Illinois', 'Louisiana', 'Minnesota', 'Missouri', 'Nebraska', 'Nevada', 'Ohio', 'Oregon', 'Wyoming']"
70,Doukénie Winery,https://www.virginiawine.org/wineries/doukenie-winery,http://www.DoukenieWinery.com,540-668-6464,"14727 Mountain Road, Hillsboro, Virginia 20132",Northern Virginia,"Located near historic Leesburg, Virginia, in the town of Hillsboro, Doukénie Winery is made up of 400 acres nestled in Loudoun County, Virginia’s famed “wine country,” just 45 miles from Washington, DC. This farm winery provides visitors and locals an escape from reality while increasing their knowledge of grapes and wine making. Founded in 1983, Doukénie Winery produced its first vintage in 1995 and has received numerous prestigious awards, over the years. Doukénie Winery produces five white wines, eight red wines and a raspberry fruit wine. Wine can be purchased through the Winery’s Heritage Club and in the Tasting Room.","(39.2081287, -77.7057943)","['Mon: 10:00 AM - 6:00 PM', 'Tues: 10:00 AM - 6:00 PM', 'Wed: 10:00 AM - 6:00 PM', 'Thurs: 10:00 AM - 6:00 PM', 'Fri: 10:00 AM - 6:00 PM', 'Sat: 10:00 AM - 6:00 PM', 'Sun: 10:00 AM - 6:00 PM', 'Food: Available: Light Fare', 'Group: Tours', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Loudoun: Wine Trail', 'Tuski: e']",Tour Fee: $50.00,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room']","[('Loudoun Wine Trail', 'https://www.visitloudoun.org\n'), (""Tuskie's Wine Trail"", 'http://www.tuskies.com/WineTrail/')]","['Alaska', 'Arizona', 'California', 'Colorado', 'Connecticut', 'District of Columbia', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Louisiana', 'Maine', 'Maryland', 'Michigan', 'Minnesota', 'Missouri', 'Montana', 'Nebraska', 'Nevada', 'New Hampshire', 'North Carolina', 'North Dakota', 'Ohio', 'Oregon', 'Pennsylvania', 'South Carolina', 'South Dakota', 'Tennessee', 'Texas', 'Vermont', 'Virginia', 'Washington', 'West Virginia', 'Wisconsin', 'Wyoming']"
71,Dry Mill Vineyards & Winery,https://www.virginiawine.org/wineries/dry-mill-vineyards-winery,http://www.drymillwine.com,703 737-3930,"18195 Dry Mill Road, Leesburg, Virginia 20175",Northern Virginia,"Dry Mill Vineyards & Winery is snuggled into nine rolling acres just one mile outside historic Leesburg in a stable and barn that was once home to the horses and dogs of the Loudoun Hunt Club. Owners Dean and Nancy Vanhuss, with their daughter Michelle Pizzarello, have carefully restored it, using nearly all of the original wood to keep the spirit of the stable intact and give the winery a distinct rustic feel. Exposed wood beams, a tin roof, sconces, and a fireplace give the winery an updated and warm feeling. The original large wooden storm shutters now slide past the winery's French doors, and the loft has two balconies overlooking the attractive grounds. The patio seats up to 30 people for wine tasting and light fare.  For Dean Vanhuss, winemaking is a retirement venture after a career in technology. He has been growing grapes in Loudoun since the late 1990s and currently has six acres planted, most at Short Hill Vineyards, their home in Lovettsville.","(39.112621, -77.603022)","['Mon: Closed', 'Tues: 12:00 PM - 5:00 PM', 'Wed: 12:00 PM - 5:00 PM', 'Thurs: 12:00 PM - 5:00 PM', 'Fri: 12:00 PM - 7:00 PM', 'Sat: 11:00 AM - 6:00 PM', 'Sun: Closed', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Loudoun: Wine Trail', 'Tuski: e']",Tour Fee: $12 or $15,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Loudoun Wine Trail', 'https://www.visitloudoun.org\n'), (""Tuskie's Wine Trail"", 'http://www.tuskies.com/WineTrail/')]",['Virginia']
72,DuCard Vineyards,https://www.virginiawine.org/wineries/ducard-vineyards,http://www.ducardvineyards.com,540-923-4206,"40 Gibson Hollow Lane, Etlan (Madison County), VA 22719",Central Virginia,"June 6, 2020 update:  Getting out into the countryside, including Shenandoah National Park all around us, with 300,000 acres of social distancing, can be a peaceful and fulfilling activity in times of stress.  Adding a bottle of wine can be a nice way to add to your outing, good for body, mind and spirit.","(38.512719, -78.304791)","['Mon: 3:00 PM - 6:00 PM', 'Tues: 3:00 PM - 6:00 PM', 'Wed: 3:00 PM - 6:00 PM', 'Thurs: 3:00 PM - 6:00 PM', 'Fri: 3:00 AM - 6:00 PM', 'Sat: 12:00 PM - 6:00 PM', 'Sun: 12:00 PM - 6:00 PM', 'Child: Friendly', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Blue: Ridge ', 'Foothills: Scenic Wine Trail', 'Skyline: Wine Trail', 'Tween: Rivers Trail']",Tour Fee: Groups: $15 pp incl. glass; call first,"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']","[('Blue Ridge “Whiskey Wine Loop”', 'https://www.discovershenandoah.com'), ('Foothills Scenic Wine Trail', 'https://www.FootHillsScenicWineTrail.com'), ('Skyline Wine Trail', 'https://www.skylinewinetrail.com/'), ('Tween Rivers Trail', 'http://www.tweenriverstrail.com/')]","['Alaska', 'Arizona', 'California', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Louisiana', 'Maine', 'Massachusetts', 'Minnesota', 'Missouri', 'Montana', 'Nebraska', 'Nevada', 'Ohio', 'Oregon', 'Pennsylvania', 'Tennessee', 'Texas', 'Virginia', 'Washington', 'Wisconsin', 'Wyoming']"
73,Eagletree Farm Vineyards,https://www.virginiawine.org/wineries/eagletree-farm-vineyards,Eagletreevineyards.com,703-777-5208,"15100 Harrison Hill Lane, Leesburg, Virginia 20176",Northern Virginia,"A family owned, chef driven winery/restaurant selling estate produced wines.  We feature an outdoor pavilion with a wood fired oven for pizza during nice weather.  Very picturesque, featuring a nature trail and open during the weekend evenings.  New in 2019, Full menu coming soon !!","(39.1994224, -77.4926545)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: Closed', 'Sat: 12:00 PM - 8:00 PM', 'Sun: 12:00 PM - 6:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Food: Available: Restaurant', 'Group: Tours', 'Private: Parties', 'Tasting: Room', 'Weddings:  ']",Tasting Fee: $9.00 for a Flight,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Food Available', 'Restaurant', 'Group Tours', 'Private Parties', 'Tasting Room', 'Weddings']",,
74,Early Mountain Vineyards,https://www.virginiawine.org/wineries/early-mountain-vineyards,http://www.earlymountain.com/,540-948-9005,"6109 Wolftown-Hood Road, Madison, Virginia 22727",Central Virginia,"Located in Madison, Virginia at the foot of the Blue Ridge Mountains, Early Mountain Vineyards comprises more than 300 acres of the historic Monticello Wine Trail. With its warm and inviting tasting room, picturesque outdoor spaces and breathtaking views, guests are welcomed to Early Mountain to enjoy the wines and linger for a palate pleasing experience. Owned by Jean and Steve Case, former America Online (AOL) executives, Early Mountain is committed to showcasing the ""Best of Virginia"" through our partnership with award-winning wineries  throughout the state and our ""eat local"" offerings  served each day in our market. Learn more at www.earlymountain.com.","(38.3519788, -78.31016)","['Mon: 11:00 AM - 6:00 PM', 'Tues: Closed - Closed', 'Wed: 11:00 AM - 6:00 PM', 'Thurs: 11:00 AM - 6:00 PM', 'Fri: 11:00 AM - 6:00 PM', 'Sat: 11:00 AM - 6:00 PM', 'Sun: 11:00 AM - 6:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Food: Available: Restaurant', 'Group: Tours', 'Overnight: Stay', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Monticello: Wine Trail', 'Skyline: Wine Trail', 'Tween: Rivers Trail']",Tour Fee: 40.00,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Food Available', 'Restaurant', 'Group Tours', 'Overnight Stay', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n'), ('Skyline Wine Trail', 'https://www.skylinewinetrail.com/'), ('Tween Rivers Trail', 'http://www.tweenriverstrail.com/')]","['California', 'Colorado', 'Florida', 'Georgia', 'Illinois', 'Maine', 'Maryland', 'Minnesota', 'Nevada', 'Ohio', 'Oregon', 'Pennsylvania', 'Tennessee', 'Texas', 'Virginia', 'Washington', 'Wisconsin']"
75,Eastwood Farm and Winery,https://www.virginiawine.org/wineries/eastwood-farm-and-winery,www.eastwoodfarmandwinery.com,4342424231,"2531 Scottsville Road, Charlottesville, VA 22902",Blue Ridge,,"(37.9664556, -78.5159649)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: 4:00 PM - 8:00 PM', 'Sat: 12:00 PM - 6:00 PM', 'Sun: 11:00 AM - 4:00 PM', 'Child: Friendly', 'Picnic: Area', 'Private: Parties', 'Weddings:  ', 'Wine: Shop', 'Monticello: Wine Trail']",,"['Features', 'Child Friendly', 'Picnic Area', 'Private Parties', 'Weddings', 'Wine Shop']","[('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n')]",
76,Eden Try Estate Winery,https://www.virginiawine.org/wineries/eden-try-estate-winery,http://www.EdenTryWinery.com,540-786-0037,"6818 River Road, Fredericksburg, VA 22407",Northern Virginia,"2019 Virginia State Gold Medal Winner - Cabernet Sauvignon!  Estate and garden wedding venue and winery featuring a selection of quality wines from our award winning wine maker.  Indoor/outdoor seating in natural, upscale atmosphere.  Conveniently located just minutes off I-95.","(38.32894, -77.573193)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: 2:00 PM - 7:00 PM', 'Sat: 12:00 PM - 5:00 PM', 'Sun: 12:00 PM - 5:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ']",Reserve Tasting Fee: $9.5,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']",,['Virginia']
77,Effingham Manor & Winery,https://www.virginiawine.org/wineries/effingham-manor-winery,www.effinghammanor.com, 703-594-2300,"14325 Trotters Ridge Place, Nokesville, VA 20181",Northern Virginia,"Effingham Manor & Winery is a destination for adults located in Nokesville, Virginia, Prince William County. Experience Virginia history from colonial times to present day, while enjoying world-class wines. Located in Nokesville, our award-winning wines are produced in a beautifully landscaped setting that honors Virginia history in a meticulously restored and preserved manor house dating back to 1767. Beautiful Boxwood, historic landscaping and a koi pond all help set the stage for our Southern hospitality. Effingham Manor is an idyllic and timeless setting for private events including weddings, corporate gatherings and smaller meetings.","(38.6382578, -77.5218906)","['Mon: 11:00 AM -  6:00 PM', 'Tues: 11:00 AM -  6:00 PM', 'Wed: 11:00 AM -  6:00 PM', 'Thurs: 11:00 AM -  6:00 PM', 'Fri: 11:00 AM -  6:00 PM', 'Sat: 11:00 AM -  6:00 PM', 'Sun: 11:00 AM -  6:00 PM', 'Group: Tours', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ']",Reserve Tasting Fee: $12.00,"['Features', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']",,
78,Elk Island Winery,https://www.virginiawine.org/wineries/elk-island-winery,http://elkislandwinery.com,804-627-3929,"5759 River Road West  (Winery Entrance Sign), Goochland, VA 23063",Central Virginia,"Elk Island Winery is named for the 1300 acre island in the James River, originally part of Thomas Jefferson’s Elk Hill farm, adjacent to our farm. Our passion for rural life, agriculture and our love of wine resulted in the planting of our  first 4 acre vineyard and Elk Island winery. Our farm, Lower Byrd Farm, is situated at the confluence of Byrd Creek and the James River and grows row crop grains. Our  estate vineyard is planted in Norton, Cabernet Sauvignon and Sauvignon Blanc, Baco Noir and Dornfelder and small plantings of many white vinifera. We also grow Chardonnay, Tannat, Vidal, Chambourcin, Dornfelder,  Tannat and Petit Verdot on other  vineyards in Goochland.","(37.7314528, -78.0967822)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: Closed', 'Sat: 12:00 PM - 6:00 PM', 'Sun: 12:00 PM - 6:00 PM', 'Child: Friendly', 'Food: Available: Light Fare', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room']",Tasting Fee: $6.00,"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room']",,
79,Fabbioli Cellars,https://www.virginiawine.org/wineries/fabbioli-cellars,http://www.fabbioliwines.com,703-771-1197,"15669 Limestone School Road, Leesburg, Virginia 20176",Northern Virginia,"The focus of this earth-friendly boutique winery has been to grow high quality grapes, to make world class wines, and to share them in a comfortable, unpretentious, and educational setting. The goal is always quality.","(39.181408, -77.518373)",Open daily from 11am-5pm.,Tour Fee: Please Call,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Picnic Area', 'Private Parties', 'Reservation Required', 'Tasting Room', 'Wine Shop']","[('Loudoun Wine Trail', 'https://www.visitloudoun.org\n'), (""Tuskie's Wine Trail"", 'http://www.tuskies.com/WineTrail/')]","['Alaska', 'Arizona', 'Arkansas', 'Colorado', 'Connecticut', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Maine', 'Michigan', 'Minnesota', 'Missouri', 'Montana', 'Nebraska', 'Nevada', 'Ohio', 'Oregon', 'Tennessee', 'Texas', 'Vermont', 'Washington', 'Wisconsin', 'Wyoming']"
80,Fifty-third Winery & Vineyard,https://www.virginiawine.org/wineries/fifty-third-winery-vineyard,https://53rdwinery.com/,540-894-5474,"13372 Shannon Hill Rd, Louisa, Virginia 23093",Central Virginia,"Fifty-third Winery & Vineyard is located in Louisa County Virginia, nestled amongst rolling hills in a traditional farming community. The estate was licensed as the 53rd farm winery in Virginia, July of 1999 when we were formerly known as Cooper Vineyards.  In July of 2015 the winery was sold to Dave and Susan Drillock who have since made it their personal mission to craft quality Virginia wines that express the uniqueness of the Virginia terrior.","(37.9612414, -77.9291757)","['Mon: 11:00 AM - 5:00 PM', 'Tues: 11:00 AM - 5:00 PM', 'Wed: 11:00 AM - 5:00 PM', 'Thurs: 11:00 AM - 5:00 PM', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Group: Tours', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Heart: of Virginia Wine Trail']","Tasting Fee: Flights of wine available, Four 2 ounce pours $12.50","['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']","[('Heart of Virginia Wine Trail', 'https://www.hovawinetrail.com\n')]","['Florida', 'Maryland', 'North Carolina', 'Pennsylvania', 'Virginia']"
81,Firefly Hill Vineyards,https://www.virginiawine.org/wineries/firefly-hill-vineyards,http://www.fireflyhill.com,540-588-0231,"4289 Northfork Rd, Elliston, VA 24087",Blue Ridge,We are a family owned and operated Virginia Farm Winery  nestled away in the mountains of southwest Virginia.,"(37.2375322, -80.2691224)",By appointment only.,Tasting Fee: $5.00,"['Features', 'Group Tours', 'Overnight Stay', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']",,
82,Five Oaks Vineyard,https://www.virginiawine.org/wineries/five-oaks-vineyard,https://www.fiveoaksvineyard.com/,434-563-3822,"4574 Belle Vista Drive, Barboursville, VA 22923",Central Virginia,"A new winery with old fashioned wines. Our wines are grown form their own roots, no grafts. Our Reds are smooth and quite lovely. Our whites are delightful.  Member of the Montpelier Wine Trail.","(38.1386041, -78.3207283)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: Closed', 'Sat: 1:00 PM - 6:00 PM', 'Sun: 1:00 PM - 6:00 PM', 'Bu: s', 'Child: Friendly', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ']",Tasting Fee: 5.00,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']",,"['Alabama', 'Alaska', 'Arizona', 'California', 'Colorado', 'District of Columbia', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Michigan', 'Minnesota', 'Missouri', 'Montana', 'Nebraska', 'Nevada', 'New Hampshire', 'New Mexico', 'New York', 'North Carolina', 'North Dakota', 'Ohio', 'Oregon', 'Pennsylvania', 'South Carolina', 'Tennessee', 'Texas', 'Vermont', 'Virginia', 'Washington', 'West Virginia', 'Wisconsin', 'Wyoming']"
83,Fleetwood Farm Winery,https://www.virginiawine.org/wineries/fleetwood-farm-winery,,,"23075 Evergreen Mills Rd, Leesburg, VA 20175",Northern Virginia,,"(38.988434, -77.5621199)",,,,,
84,Flying Fox Vineyard,https://www.virginiawine.org/wineries/flying-fox-vineyard,http://www.FlyingFoxVineyard.com,434-361-1692,"27 Chapel Hollow Road, Afton, Virginia 22920",Central Virginia,"Come and taste the next generation of Virginia Wine. Flying Fox maintains a classic Virginia portfolio of Viognier Cabernet Franc and Petit Verdot , but also offers a consistent line up of dynamic and limited releases for the adventurous pallet. Fox is a unique space on the wine trail, housed in a revived industrial Fiber Mill transformed into Mr. Fox’s Personal pub. Settle into this beautifully appointed space and enjoy the next big thing","(37.9414743, -78.8395992)",Open for tastings Friday through Monday 11-5pm,Tasting Fee: $5.00,"['Features', 'Food Available', 'Light Fare', 'Pet Friendly', 'Picnic Area', 'Tasting Room']","[('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n'), ('Nelson 151', 'http://nelson151.com/')]","['Florida', 'Maryland', 'Minnesota', 'Virginia']"
85,Fox Meadow Winery,https://www.virginiawine.org/wineries/fox-meadow-winery,http://www.foxmeadowwinery.com,540-636-6777,"3310 Freezeland Road, Linden, Virginia 22642",Northern Virginia,"Fox Meadow Winery has been crafting great wines using traditional wine making processes for over a decade. Whether you prefer traditional Old World style dry wines like our Reserve Cabernet Franc or Le Renard Rouge, or a light and refreshing aromatic fruity white like our Pinot Grigio or Blue Mountain Mist, we have something for everyone's palate. Situated at an elevation of 1700 ft., family-owned Fox Meadow Winery provides visitors with an incredible backdrop to enjoy our hand-crafted, award winning wines.","(38.9352103, -78.0541215)","['Mon: 11:00 AM - 5:00 PM', 'Tues: Closed', 'Wed: Closed', 'Thurs: 11:00 AM - 5:00 PM', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 6:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Child: Friendly', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Fauquier: County Wine Trail', 'Tween: Rivers Trail']",Tasting Fee: $12.00 - per person,"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Fauquier County Wine Trail', 'https://www.fauquiertourism.com/wineries.html\n'), ('Tween Rivers Trail', 'http://www.tweenriverstrail.com/')]","['District of Columbia', 'Florida', 'Georgia', 'Maryland', 'North Carolina', 'Pennsylvania', 'Texas', 'Virginia']"
86,Gabriele Rausse Winery,https://www.virginiawine.org/wineries/gabriele-rausse-winery,http://www.gabrieleraussewinery.com,(434) 981-1677,"3247 Carters Mountain Road, Charlottesville, VA 22902",Central Virginia,"Gabriele Rausse Winery has earned a reputation for elegant European-style wines. Come discover the story of ""the father of Virginia wines"".","(37.9440277, -78.4876265)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: 11:00 AM -  5:00 PM', 'Fri: 11:00 AM -  5:00 PM', 'Sat: Closed - Closed', 'Sun: 10:00 AM -  4:00 PM', 'Monticello: Wine Trail']",Tasting Fee: $12.00,,"[('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n')]",
