"tree_name","treetype","context","picking_season","uses","cropping","keeping_(of_fruit)","flavor_style_(apples)","juice_style","juice_color","fruit_persistence","bitter_pit","cooking_result","gardening_skill","self-fertility","pollination_group","pollinating_others","ploidy","vigour","precocity","bearing_regularity","fruit_bearing","organic_culture","general_resistance","scab","mildew","fireblight","cedar_apple_rust","canker","woolly_aphid","cold_hardiness_(usda)","summer_average_maximum_temperatures","chill_requirement","frost_resistance_of_blossom","country_of_origin","period_of_origin","fruit_color","fruit_size","awards"
"Fuji (early) apple tree","Apple tree","
The popular crisp sweet Fuji apple is not easy to grow in cooler climates and areas with short summers, because it needs an exceptionally growing season. However there are a number of sports or variants of Fuji such as Beni Shogun, Rising Sun, and September Wonder, which keep the crisp sweetness of the original Fuji, but ripen up to 4 weeks earlier.
If you are in zones 5 or 6, or in an area such as the Pacific North West where the maritime climate moderates sunlight hours, early Fuji is more likely to succeed than the original late-season variety.
Fill in the form below and we will notify you when Fuji (early) apple tree is back in stock.","Mid","Eating fresh","Heavy","1-2 months","Sweeter","Sweeter",,,,,"Average","Not self-fertile",3,"Average","Diploid","Average vigour",,,"Spur-bearer",,"Average","Some susceptibility",,"Some resistance",,,,"(5) -20F / -29C",,,,"United States",,"Pink","Average",
"Gala apple tree","Apple tree","
One of the most popular supermarket apple varieties, and a good mid-season variety for the garden in many areas. The sweet flavor of ripe Gala apples eaten straight from the tree is quite a surprise compared to supermarket examples. Gala is also a good variety for juicing, as you might expect the flavor is rich and sweet, useful for mixing with other sharper varieties.
Because of the commercial importance of Gala a large number of Gala ""sports"" exist. These are naturally occuring mutations, and are mostly indistinguishable from the original in terms of flavor but may have a deeper coloration or more pronounced flush to the skin.
IMPORTANT NOTE We strongly recommend Galarina or Sansa for backyard growers, in preference to Gala.  Both these varieties are closely related to Gala and have similar appearance and flavors, but both have better disease-resistance and are better suited to the home orchard.
Fill in the form below and we will notify you when Gala apple tree is back in stock.
Gala is grown on a commercial basis in South Africa, Chile, New Zealand, and France. One of its unique characteristics is that Gala will produce good-quality apples across an unusually wide range of climates from cool temperate to hot. Whilst not quite a low-chill variety, its chilling requirement of about 800 hours is at the lower end of the range, which helps when growing in warmer climate zones.
In the USA it can be grown with good quality from zones 5-9.
Gala appears to be susceptible to just about every problem known to affect apples, but don't let this put you off. In practice, provided you have a dry climate, it is not too difficult to grow - and the flavor of home-grown ripe Gala apples us worth a bit of effort.
Most sports of Gala have some degree of self-fertility - but will set much better crops if there is a nearby pollination partner.
Advice on fruit tree pollination.
Developed by New Zealand apple enthusiast J.H. Kidd from one of his earlier successes, Kidd's Orange Red, which he crossed with Golden Delicious. Through this parentage Gala unites three of the world's most influential apple varieties, Cox's Orange Pippin, Delicious, and Golden Delicious.","Late","Eating fresh, Juice","Good","3 months or more","Sweeter",,,"Normal ripening",,,"Average","Partially self-fertile",4,"Average","Diploid","Vigorous",,"Regular","Spur-bearer",,"Poor","Very susceptible","Some susceptibility","Some susceptibility","Some susceptibility","Some susceptibility",,"(5) -20F / -29C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Hot (>30C / 86F)","Low-chill","Good resistance","New Zealand","1900 - 1949","Orange / Red",,"RHS Award of Garden Merit"
"Galarina apple tree","Apple tree","
Galarina is, as the name suggests, a cross between Gala and Florina.
The fruit size and sweet flavor are similar to Gala, but it also inherits the wide-ranging disease-resistance of Florina. Poor disease-resistance has always been a weakpoint of Gala, so Galarina can be considered as an ""improved"" Gala.
Fill in the form below and we will notify you when Galarina apple tree is back in stock.
Although Gala is very widely planted, it is somewhat disease-prone and not ideal for the backyard grower. Galarina is far more disease-resistant, and can also be grown in colder climate zones than Gala.
Advice on fruit tree pollination.
Galarina was developed at the INRA research station in Angers, France, in the 1980s. Most of the North American field trials were carried out as part of the Quebec Apple Breeding Program, based at St. Jean sur Richelieu in Quebec, Canada.","Late","Eating fresh","Good","3 months or more","Sweet/Sharp",,,,,,"Beginner","Not self-fertile",3,"Average","Diploid","Slightly large",,,"Spur-bearer","Suitable","Good","Some resistance","Some resistance","Some resistance",,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Hot (>30C / 86F)",,,"France","1950 - 1999","Red",,
"Gilpin apple tree","Apple tree","
Fill in the form below and we will notify you when Gilpin apple tree is back in stock.","Very late","Eating fresh, Juice, Hard cider","Good","3 months or more",,,,,,,,,5,,,,,,,,,,,,,,,,"Cool ( 20-24C / 68-75F)",,,"United States","1800 - 1849",,,
"Ginger GoldÂ® apple tree","Apple tree","
Ginger Gold is an attractive early-season apple, ripening during July or early August in most areas. The skin is a golden green color, often with a sun-kissed flush.
Ginger Gold can be eaten fresh, and it is useful in the kitchen too. Like most early-season apples, the flavor is tart and refreshing, but there is some sweetness too, and Ginger Gold can arguably be considered as a very-early ripening Golden Delicious.
Fill in the form below and we will notify you when Ginger Gold apple tree is back in stock.
Ginger Gold has quite a wide climate range, but is particularly useful in warmer zones - including southern California and the southern states.
Advice on fruit tree pollination.
Ginger Gold is named after orchard owner Frances ""Ginger"" Harvey, who noticed the tree was one of the few survivors in the family orchard after Hurricane Camille hit Virginia in 1969. It was planted in a Winesap block but was subsequently found to be related to Golden Delicious and Newtown Pippin (also known as Albemarle Pippin). It was first propagated by Adams County Nusery.","Very early","Eating fresh","Good","1 week","Sweet/Sharp",,,"Normal ripening",,,"Beginner","Not self-fertile",4,"Average","Diploid","Average vigour","Precocious","Regular","Spur-bearer",,"Good",,,"Some susceptibility","Very susceptible",,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1950 - 1999","Green / Yellow",,
"Golden Russet apple tree","Apple tree","
Golden Russet is usually considered to have the best flavor of all American russet apples.
It is an exceptionally versatile apple and was grown in New England on a commercial basis in the 19th century. Today it retains a keen following for the excellent quality of its juice, which is used for cider and hard cider production.
Fill in the form below and we will notify you when Golden Russet apple tree is back in stock.
Golden Russet produces a moderately vigorous tree, and is resistant to scab but somewhat susceptible to cedar apple rust.
The main feature of Golden Russet is that it is a tip-bearer, with the apples borne on the ends of shoots rather than spurs. Therefore keep winter pruning to a minimum.

Advice on fruit tree pollination.
New York, mid-19th century, possibly related to an English russet variety.","Late","Eating fresh, Culinary, Juice, Hard cider","Good","3 months or more","Sweeter",,,"Normal ripening",,"Keeps shape","Average","Not self-fertile",2,"Average","Diploid","Vigorous",,"Regular","Tip-bearer",,"Average","Some resistance",,,"Some susceptibility",,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1800 - 1849","Russet",,
"GoldRush apple tree","Apple tree","
GoldRush is a modern disease-resistant apple, equally suitable for commercial growers or gardeners and home orchardists. It is widely recognized as one of the best of all modern apples, both in terms of its flavor and its growth characteristics. It makes a fine addition to any backyard orchard.
Its parentage is complex, but it is derived from Golden Delicious and inherits that variety's excellent hard crispness, sweetness, and long storage capability.
The flavor when freshly-picked is pronounced and distinctly sharper than Golden Delicious, but it sweetens in storage and it has a good balance of sweet and sharp flavors. The trees are compact and neat.
Unusually for a modern variety, GoldRush has rapidly become popular for hard cider production - it is a juicy apple, and the juice is also very characterful, with an intense rich tangy sweetness which makes a great addition to cider blends. It is a good variety for sweet cider too.
Fill in the form below and we will notify you when GoldRush apple tree is back in stock.
GoldRush has a tendency to over-crop which if not checked can lead to biennial bearing as the tree gets older. However this is easily remedied by thinning the crop in late spring.
It is very resistant to scab, and fairly resistant to fireblight. However it is susceptible to cedar apple rust in the south and southern mid-west, and may require a basic fungicide in these areas.
GoldRush blossoms quite late, and therefore needs another late-flowering variety nearby for pollination.
GoldRush also ripens quite late and benefits from a long growing season - harvesting in upstate New York would typically be in late October or even early November. Growers in the northern states should therefore make sure the tree is in a sheltered south-facing location in full sun. Training against a south-facing wall may als be beneficial.
Notwithstanding the above, GoldRush is generally a foolproof apple for most areas - from the north country to the southern states and southern California.
Advice on fruit tree pollination.
GoldRush was developed from a joint breeding program between the Indiana, Illinois and New Jersey Agricultural Experiment Stations in the 1990s.","Very late","Eating fresh, Culinary, Hard cider","Heavy","3 months or more","Sweeter",,,"Persistent",,,"Beginner","Not self-fertile",4,"Average","Diploid","Average vigour",,"Biennial tendency","Spur-bearer","Suitable","Good","Very resistant","Very resistant","Some resistance","Some susceptibility",,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Hot (>30C / 86F)",,,"United States","1950 - 1999","Yellow / Orange",,
"Granny Smith apple tree","Apple tree","
The popular Australian Granny Smith apple grows happily in many parts of the United States. Like many of the well-known supermarket varieties, Granny Smith is undergoing something of a renaissance as apple enthusiasts discover that the qualities that have made it so successful as a supermarket apple can also be useful in the home orchard.
Granny Smith is a versatile apple, great for eating fresh of course, but also a good apple for sweet and savoury salads (since it does not go brown readily) and a good choice for apple pies - slices keep their shape when cooked. (For best cooking results, pick when slightly under-ripe).
Granny Smith prefers the warmer zones - 6 and higher - but can be grown across quite a wide range, and zone 5 is a possibility although be aware that it likes a long growing season to ripen. The flavor of home-grown examples in the warmer states can be more complex and interesting than the one-dimensional tart acidity of store-bought apples, particularly if you allow the apples to ripen fully on the tree.
As well as the distinctive green skin and tart flavor, Granny Smith is well known for its excellent keeping qualities. It is one of the best apples for home storage.
Fill in the form below and we will notify you when Granny Smith apple tree is back in stock.
Cropping is usually very good but the famous bright green color is only achieved in areas of warm days and nights. In cooler zones where temperatures drop overnight Granny Smith can develop an attractive but uncharacteristic red flush.
Granny Smith is generally easy to grow, but it can lapse into biennial bearing if allowed to over-crop.
One of the unusual features of Granny Smith is that the apples tend to grow within the foliage, on the inside rather than the outside of the tree - as can be seen in our main photo.
Granny Smith is a very good pollinator of other apple varieties, making it an excellent choice if you are establishing a small orchard in the warmer climate zones.
Advice on fruit tree pollination.
Discovered by Maria Smith, Australia, 1860s.","Very late","Eating fresh, Culinary","Heavy","3 months or more","Sharper",,,"Persistent",,"Keeps shape","Average","Self-fertile",3,"Good","Diploid","Average vigour","Precocious","Biennial tendency","Partial tip-bearer",,"Average","Some susceptibility","Some susceptibility","Some susceptibility","Some resistance",,,"(5) -20F / -29C","Warm (25-30C / 76-85F), Hot (>30C / 86F)","Low-chill",,"Australia","1850 - 1899","Green",,
"Gravenstein apple tree","Apple tree","
Gravenstein is a high-quality dual-purpose apple variety, originally from Europe, but well-established in North America. It can be grown in most US climate zones.
Gravenstein has never achieved great commercial success, but ""Gravs"" remain extremely popular with apple enthusiasts around the world. The flavor, both for eating fresh and (especially) for cooking is unusually good for such an early-season variety.
Like most early-season apples Gravenstein does not keep that well but, usefully, the apples tend to ripen individually over the course of a couple of weeks so you are not necessarily faced with a sudden glut. (This lengthy ripening time is one of the reasons Gravenstein is not successful as a commercial variety, but is a plus for the home orchardist).
Gravensteins have a distinctive flushed coloring, which begins in mid-August as a few streaks of red, and spreads to cover the whole apple by the end of the picking season in mid-September.

Fill in the form below and we will notify you when Gravenstein apple tree is back in stock.
Gravenstein is sometimes regarded as an unreliable or difficult variety - but part of this is likely to be caused by poor pollination. There are two pollination-related issues to be aware of when growing Gravenstein. Firstly it is a triploid variety, so it will not pollinate other apple varieties. Secondly it flowers very early in the season, when not many other apple varieties are in flower to pollinate it. Therefore most of the reliability problems with Gravenstein can be resolved by making sure you have some other early-flowering apple trees (of different varieties) nearby. See our pollination checker for suggestions. Whilst we put Gravenstein in flowering group 1 to help ensure that other early-blooming varieties are listed against it in our pollination checker, it is worth noting that Gravenstein can flower over a long period and sometimes appears to have a second flush of blossoms later in the flowering season. Therefore perhaps the best advice is to plant a couple of good early/mid-season pollinators nearby - a crab-apple would be ideal.
Reflecting its triploid nature, Gravenstein trees tend to be quite large and long-lived.
Gravenstein can be susceptible to various apple diseases, although there is no obvious pattern and it does seem to be down to local conditions and climate. It appears to prefer cooler climates, and although it has a reputation for being a bit temperaramental, is surprisingly cold hardy. It can be very susceptible to fireblight in those areas where it is prevalent.
In short Gravenstein is not the easiest apple to grow, but a lot of apple enthusiasts are prepared to keep trying because the flavor is so good! It is therefore not the best choice if it is to be your only source of garden apples, but if you already have other apple trees then Gravenstein is well worth taking a chance on.
Advice on fruit tree pollination.
Gravenstein is undoubtedly a very old variety - 18th century or earlier.  In 2005 it became the National apple of Denmark.","Early","Eating fresh, Culinary, Traditional cooker, Dual purpose","Good","1 week","Sweet/Sharp",,,"Normal ripening",,"Keeps shape","Experienced","Not self-fertile",1,"Poor","Triploid","Vigorous","Slow to start bearing","Biennial tendency",,,"Poor","Some susceptibility","Some susceptibility","Very susceptible","Very resistant","Some susceptibility",,"(5) -20F / -29C","Warm (25-30C / 76-85F), Hot (>30C / 86F)","Low-chill",,"Denmark","1750 - 1799",,,
"Grimes Golden apple tree","Apple tree","
Grimes Golden is of historical interest as the probable parent of Golden Delicious, and is usually considered to have a richer flavor than its offspring. Spicy sweetness is perhaps the best way to describe it.
It is green/yellow in color, changing to yellow in storage.  The apples store well and have a high sugar content.
Fill in the form below and we will notify you when Grimes Golden apple tree is back in stock.
Grimes Golden has a narrower climate range than Golden Delicious, being traditionally an apple for the central and eastern states, zones 5 and 6, and not especially winter hardy. Grimes Golden is generally productive but not necessarily a regular bearer, which was one of the main reasons it was replaced by Golden Delicious as a commercial apple - however the home grower is likely to put up with Grimes Golden's uncertain productivity as a trade-off for its richer flavor.
In a good spring the fruitlets may require thinning. Fruit size is generally larger in the higher zones.
It is self-fertile and (like Golden Delicious) a good pollinator for other apple varieties.
Advice on fruit tree pollination.
West Virginia, early 19th century.","Late","Eating fresh, Culinary, Juice","Good","3 months or more","Sweeter",,,"Normal ripening",,,"Average","Self-fertile",3,"Good","Diploid","Average vigour","Precocious","Regular","Spur-bearer",,"Average","Some susceptibility","Some resistance","Some resistance","Some resistance",,,"(5) -20F / -29C","Warm (25-30C / 76-85F)",,,"United States","1800 - 1849","Green / Yellow",,
"Holstein apple tree","Apple tree","
Holstein is an attractive high quality apple for eating fresh. It has a very good aromatic flavor.
Holstein is thought to be a Cox seedling, but many of its characteristics seem to hark back to Ribston Pippin (the probable parent of Cox). Like Ribston Pippin it is quite a large apple, with coarser flesh and a more robust flavor than Cox.
This is a good variety for pressing, the juice has a complex balanced flavor and is an attractive light orange color.
Fill in the form below and we will notify you when Holstein apple tree is back in stock.
Like Cox, Holstein is somewhat disease prone, but its natural triploid vigor means that it usually crops heavily anyway. The main horticultural difficulty is that its attractive blossom is easily damaged by frost, so this is not a tree to plant in a frost pocket or areas prone to late spring frosts.
Advice on fruit tree pollination.
Germany, 1918.  Thought to be a seedling of Cox's Orange Pippin.","Late","Eating fresh, Juice","Good","1-2 months","Aromatic",,"Pale orange",,,,"Average","Not self-fertile",3,"Poor","Triploid","Vigorous",,"Regular","Spur-bearer",,"Average","Very resistant","Some susceptibility","Some susceptibility",,"Some susceptibility",,,"Cool ( 20-24C / 68-75F)",,,"Germany","1900 - 1949","Orange flush",,
"Honeycrisp apple tree","Apple tree","
Honeycrisp is a very attractive high quality apple with a predominantly sweet flavor. It lives up to its name - it is a remarkably crisp apple and one of the outstanding new apples of the late 20th century. The flavor is excellent, with a rich sweetness and good balancing acidity.
The apples are medium-to-large in size, with a light green/yellow background largely covered with red-orange flush occasionally with a hint of pink. They keep well in storage, and retain their unique crispness.
Fill in the form below and we will notify you when Honeycrisp apple tree is back in stock.
Honeycrisp was developed to be cold-hardy and is a good variety for colder apple-growing regions, where its crispness and sweetness are enhanced - although it likes a warm fall season. It is one of the most cold-hardy of all apple varieties.
However don't think this means it won't grow in the southern states - Honeycrisp has a wide climate range and seems quite at home in warmer zones. Although we normally suggest up to Zone 8, it can be grown in even warmer zones such as southern California.
The well-balanced flavor can become bland if the tree is allowed to over-crop - and Honeycrisp does tend to over-crop if given a chance. This can also lead to pre-harvest drop, a particular issue with Honeycrisp in warmer areas. So whilst this is not a tree that requires thinning if outright production is your goal, if you want the best flavor then thin the fruitlets as soon as they have formed.
Honeycrisp is known for its excellent scab-resistance. It appears to have some resistance to fireblight as well, but if you are in a fireblight area the University of Minnesotal recommends using fireblight-resistant rootstocks, such as the Geneva series.
It is a good idea to let Honeycrisp trees reach their full size before allowing cropping to begin, so remove any fruitlets that might form in the early years.
Advice on fruit tree pollination.
Honeycrisp was introduced in the 1990s by the University of Minnesota. It is related to Keepsake and distantly related to Northern Spy, a traditional American cold-hardy apple variety.","Late","Eating fresh","Good","3 months or more","Sweeter",,,"Normal ripening","Some susceptibility",,"Beginner","Not self-fertile",4,"Average","Diploid","Weak growing","Precocious","Regular","Spur-bearer","Suitable","Good","Very resistant","Some susceptibility","Some resistance","Some susceptibility",,,"(3) -40F / -40C, (4) -30F / -34C, (5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C, (10) 30F / -1C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Hot (>30C / 86F), Cold (< 20C / 67F)",,,"United States","1950 - 1999","Orange / Red",,
"Hubbardston Nonsuch apple tree","Apple tree","
Hubbardston Nonsuch is an heirloom late-season apple with a strong and somewhat aromatic flavor.
As the name suggests this apple is from the town of Hubbardston in Massachusetts, and is sometimes known as Hubbardston Nonesuch. Although ""Nonsuch"" may appear rather self-deprecating to us today, its meaning in the 19th century is perhaps better understood from its commonly-used French translation - ""Nonpareil"", meaning ""unequalled"".
Hubbardston Nonsuch is essentially a green / orange-flushed apple, but the coloring is highly variable and it can readily become a solid dark red in climates with cold fall nights.
Fill in the form below and we will notify you when Hubbardston Nonsuch apple tree is back in stock.
Hubbardston, Massachusetts. First recorded in the 1830s but of unknown origins.","Late","Eating fresh","Good","1-2 months",,,,,,,"Average","Not self-fertile",4,"Average","Diploid","Average vigour","Precocious","Regular","Spur-bearer",,"Average","Very resistant",,,,"Some susceptibility",,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1800 - 1849","Orange / Red",,
"Hudson's Golden Gem apple tree","Apple tree","
Hudson's Golden Gem is one of the best-flavored russet apples. The fruits are quite large, with a pale green skin which is usually extensively covered with a light russet. The flesh has a light crispness, and a pear-like sweetness.
Like many russets, it has an interesting sweet juice quality which is very useful for cider.
Fill in the form below and we will notify you when Hudson's Golden Gem apple tree is back in stock.
Hudson's Golden Gem has a fairly wide climate range, and is suitable for both cool and warm areas, including southern California.
Advice on fruit tree pollination.
Hudson's Golden Gem was discovered in Oregon in the 1930s.","Late","Eating fresh, Juice, Hard cider","Good","1-2 months","Sweeter","Sweeter",,,,,"Beginner","Not self-fertile",3,"Average","Diploid",,,,"Spur-bearer","Suitable","Good","Some resistance","Some resistance","Some resistance",,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Hot (>30C / 86F)",,,"United States","1900 - 1949","Russet","Large",
"Isaac Newton's Tree apple tree","Apple tree","
Every school student knows Sir Isaac Newton had the inspiration for his theory of gravity when sitting under an apple tree and pondering why apples fall. This lovely story, which was related by Newton himself to several correspondents, occurred in the summer of 1666 - about 350 years ago.
What is perhaps less well-known is that the variety of apple which the famous scientist saw falling from the tree has been positively identified. The incident is known to have taken place in his garden at Woolsthorpe Manor in Lincolnshire, England - and fortunately there was only one apple tree in the garden. It was subsequently identified as a very old English variety (not surprisingly) called Flower of Kent.
Even more remarkably, this apple tree, which must surely be the most important in the history of science, is still alive. The tree appears to have blown over several times in its life, but each time has re-grown from the roots.
As might be expected of a variety from this period, Flower of Kent is a large sharp-tasting cooking apple with juicy crisp flesh.
Many cuttings have since been taken from the famous scientist's tree, and it is a popular variety in the grounds of university physics departments around the world.
The trees we supply are propagated from a nursery tree which was raised from a cutting of a Flower of Kent apple tree originally obtained by the USDA Geneva research station. It is likely this tree was in turn propagated from cuttings sent from the RHS at Wisley in England.
Fill in the form below and we will notify you when Isaac Newton's Tree apple tree is back in stock.
Flower of Kent is unusually late-flowering, so is a useful variety in areas subject to late spring frosts, but make sure you have another late-blooming variety to pollinate it.
Advice on fruit tree pollination.
Flower of Kent is an old English culinary apple variety, dating back to the early 17th century.","Late","Culinary, Traditional cooker","Good","1-2 months","Sharper",,,,,,"Average","Not self-fertile",5,"Average","Diploid","Average vigour",,"Regular","Partial tip-bearer",,"Average",,,,,,,,"Cool ( 20-24C / 68-75F), Cold (< 20C / 67F)",,,"United Kingdom","1600 - 1649",,,
"Jonagold apple tree","Apple tree","
Malus domestica 'Jonagold'
Jonagold is a widely-grown American apple variety with an excellent rich aromatic flavor. It is widely grown in the USA and Europe.
Jonagold stores well, a quality it inherits from one of its parents, Golden Delicious. However it gets its excellent flavor from its other parent, the well-respected old New York apple variety Jonathan. It has a combination of good sweetness and good sharpness that often denotes a high quality apple.
Jonagold is a very versatile apple. As well as being excellent for eating fresh, it is a popular for all kinds of culinary uses, and good for juice and cider. The apples can be picked over several weeks - pick earlier if you want to store them.
Fill in the form below and we will notify you when Jonagold apple tree is back in stock.
The main horticultural issue is that Jonagold is a triploid apple variety and therefore needs two separate pollination partners nearby (or one self-fertile one). If you have apple trees nearby or in neighboring gardens, they may be suitable. Golden Delicious is a reliable pollinator of many varieties but Jonagold is an exception and cannot be pollinated by Golden Delicious. Like most triploid apple varieties, Jonagold produces a fairly large tree and the apples are also fairly large. Cropping is generally good and there is no need to thin the fruit.
Jonagold is susceptible to a number of apple diseases, but its vigorous triploid nature seems to help it keep going.
Jonagold likes a warmer climate but can be grown across quite a wide climate range.
Advice on fruit tree pollination.
Jonagold is a cross between two classic American apple varieties, Golden Delicious and Jonathan. Developed by the famous Geneva research station in New York State in 1943.","Late","Eating fresh, Culinary, Juice, Hard cider","Heavy","1-2 months","Sweet/Sharp",,,"Normal ripening",,,"Average","Not self-fertile",4,"Poor","Triploid","Vigorous",,"Regular","Spur-bearer",,"Poor","Some susceptibility",,"Some susceptibility","Some susceptibility","Some susceptibility",,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)","Low-chill",,"United States","1900 - 1949","Orange flush",,"RHS Award of Garden Merit"
"Jonalicious apple tree","Apple tree","
Jonalicious marries the sophisticated flavors of Jonathan and the sweet crisp reliability of Red Delicious. It's a fairly large apple which is great for eating fresh, but also versatile in the kitchen - and like Red Delicious it will keep fresh for months in a fridge.
Fill in the form below and we will notify you when Jonalicious apple tree is back in stock.
Jonalicious flowers quite late in the spring, and is a good pollinator of other late-bloom varieties.
Advice on fruit tree pollination.
Jonalicious is thought to be a seedling of Jonathan and Red Delicious, discovered in Abilene, Texas, in the 1930s.","Late","Eating fresh, Culinary, Dual purpose","Good","3 months or more","Sweet/Sharp",,,,,,"Average","Not self-fertile",5,"Average","Diploid","Average vigour",,,,,"Average",,,,,,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1900 - 1949","Red","Large",
"Jonathan apple tree","Apple tree","
Jonathan is a classic 19th century American apple variety, noted for its high quality flavor. It rewards being eaten fresh between October and Christmas, but is a good keeper and a good variety for the kitchen.
Jonathan apples were exported to Victorian England and the English pomologist Robert Hogg rated it as ""a very fine dessert apple"".
Fill in the form below and we will notify you when Jonathan apple tree is back in stock.
Jonathan is often considered to be fully self-fertile, but in practice cropping is greatly improved if there is another different variety nearby to pollinate it.
The main challenge with growing Jonathan is its poor disease resistance. Don't let the extensive list of disease susceptibility put you off, in reality the situation is not quite as bad as it looks, and it is worth a bit of effort to get such excellent flavor. However it is perhaps not a good idea to rely on Jonathan as your only apple tree!
Advice on fruit tree pollination.
According to the Victorian pomologist Robert Hogg, it was found on the farm of Philip Rick of Kingston New York, in the early 19th century. It is thought to be related to Esopus Spitzenburg. However as with many old varieties there are many stories surrounding its origins. Visually and in terms of the quality of flavor, the relation with Spitzenburg seems likely.
Jonathan's excellent flavor and good keeping qualities have led to it being used in many breeding programs.","Late","Eating fresh, Culinary","Heavy","3 months or more","Aromatic",,,,,"Textured puree","Experienced","Partially self-fertile",3,"Average","Diploid","Average vigour","Precocious","Regular","Spur-bearer",,"Poor","Very susceptible","Some susceptibility","Very susceptible","Very susceptible","Some susceptibility","Some resistance",,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1800 - 1849","Orange / Red",,
"Kandil Sinap apple tree","Apple tree","
Malus domestica 'Kandil Sinap'
Kandil Sinap is a beautiful-looking apple, with a distinctive tall cylindrical shape.
The flavor is sweet with some balancing sharpness, and the apples keep fairly well.
Fill in the form below and we will notify you when Kandil Sinap apple tree is back in stock.
Kandil Sinap is thought to have originated from Turkey or Ukraine in the early 19th century.","Late","Eating fresh, Drying","Heavy","1-2 months","Sweet/Sharp",,,,,,"Average","Not self-fertile",3,"Average","Diploid","Average vigour",,"Regular","Spur-bearer",,,,,,,,,"(6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,,"Turkey","1800 - 1849","Yellow / Orange",,
"Karmijn de Sonnaville apple tree","Apple tree","
Karmijn de Sonnaville is a relatively unknown Cox-style apple, from the Netherlands. It has an excellent rich aromatic flavor, similar in many ways to Cox's Orange Pippin. If you are interested in the flavor of apples then it is definitely worth considering, and it grows well the northern states.
Like many Cox-style varieties, Karmijn de Sonnaville is a useful variety for juicing.
Fill in the form below and we will notify you when Karmijn de Sonnaville apple tree is back in stock.
Karmijn de Sonnaville seems to grow better in the continental climate of North America than it does in its native Europe.
Like Cox, disease resistance is not great, but the natural vigor of Karmijn de Sonnaville seems to help it keep going.
Advice on fruit tree pollination.
This variety was raised by Piet de Sonnaville, working at the University of Wageningen, Netherlands, 1950s. It is a cross between Cox's Orange Pippin and Jonathan (or possibly Belle de Boskoop).","Late","Eating fresh, Juice","Good","1-2 months","Aromatic",,,"Persistent",,,"Average","Not self-fertile",4,"Poor","Triploid","Vigorous",,"Regular","Spur-bearer",,"Average","Very susceptible",,,,,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"Netherlands","1900 - 1949","Orange flush",,
"Keepsake apple tree","Apple tree","
Keepsake is a late-ripening winter apple with a good strong apple flavor - at its best in mid-winter. The apples have a full rich flavor, and a juicy crisp texture.
Keepsake was released in the 1980s but did not achieve much commercial success, perhaps because the apples can be a bit uneven in shape. However the combination of good flavor and disease-resistance makes it a useful choice for the backyard orchard, particularly in the northern states.
Fill in the form below and we will notify you when Keepsake apple tree is back in stock.
Keepsake is easy to grow, and has good disease-resistance. The only real issue is a tendency to over-crop, which can lead to biennial bearing (fruiting every other year). This can be prevented by carefully thinning the fruitlets in early June.
Advice on fruit tree pollination.
Keepsake was developed by the University of Minnesota and released in 1978. It is perhaps best-known as one of the parents of Honeycrisp, which inherits Keepsake's excellent disease-resistance.","Very late","Eating fresh","Good","3 months or more",,,,,,,"Beginner","Not self-fertile",4,"Average","Diploid","Slightly large","Precocious","Biennial tendency","Spur-bearer","Suitable","Good",,,"Some resistance","Some resistance",,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1950 - 1999","Orange flush","Average",
